2025/03/13-13:43:15,T,14.5832,P,10.0789
2025/03/13-13:43:17,T,14.5841,P,10.0814
2025/03/13-13:43:19,T,14.5859,P,10.0712
2025/03/13-13:43:21,T,14.5895,P,10.0757
2025/03/13-13:43:23,T,14.5945,P,10.0700
2025/03/13-13:43:25,T,14.5994,P,10.0725
2025/03/13-13:43:27,T,14.5909,P,10.0725
2025/03/13-13:43:29,T,14.5902,P,10.0668
2025/03/13-13:43:31,T,14.5946,P,10.0789
2025/03/13-13:43:33,T,14.5960,P,10.0738
2025/03/13-13:43:35,T,14.5933,P,10.0668
2025/03/13-13:43:37,T,14.5860,P,10.0649
2025/03/13-13:43:39,T,14.5913,P,10.0757
2025/03/13-13:43:41,T,14.5815,P,10.0706
2025/03/13-13:43:43,T,14.5816,P,10.0591
2025/03/13-13:43:45,T,14.5862,P,10.0725
2025/03/13-13:43:47,T,14.5826,P,10.0719
2025/03/13-13:43:49,T,14.5764,P,10.0623
2025/03/13-13:43:51,T,14.5771,P,10.0706
2025/03/13-13:43:53,T,14.5756,P,10.0623
2025/03/13-13:43:55,T,14.5702,P,10.0713
2025/03/13-13:43:57,T,14.5727,P,10.0687
2025/03/13-13:43:59,T,14.5763,P,10.0611
2025/03/13-13:44:01,T,14.5840,P,10.0610
2025/03/13-13:44:03,T,14.5857,P,10.0591
2025/03/13-13:44:05,T,14.5853,P,10.0547
2025/03/13-13:44:07,T,14.5902,P,10.0547
2025/03/13-13:44:09,T,14.5930,P,10.0591
2025/03/13-13:44:11,T,14.5916,P,10.0610
2025/03/13-13:44:13,T,14.5902,P,10.0553
2025/03/13-13:44:15,T,14.5795,P,10.0572
2025/03/13-13:44:17,T,14.5663,P,10.0528
2025/03/13-13:44:19,T,14.5690,P,10.0509
2025/03/13-13:44:21,T,14.5799,P,10.0585
2025/03/13-13:44:23,T,14.5794,P,10.0489
2025/03/13-13:44:25,T,14.5776,P,10.0598
2025/03/13-13:44:27,T,14.5763,P,10.0489
2025/03/13-13:44:29,T,14.5608,P,10.0573
2025/03/13-13:44:31,T,14.5473,P,10.0490
2025/03/13-13:44:33,T,14.5445,P,10.0535
2025/03/13-13:44:35,T,14.5423,P,10.0452
2025/03/13-13:44:37,T,14.5397,P,10.0465
2025/03/13-13:44:39,T,14.5269,P,10.0522
2025/03/13-13:44:41,T,14.5191,P,10.0510
2025/03/13-13:44:43,T,14.5122,P,10.0567
2025/03/13-13:44:45,T,14.5146,P,10.0427
2025/03/13-13:44:47,T,14.5139,P,10.0446
2025/03/13-13:44:49,T,14.5115,P,10.0516
2025/03/13-13:44:51,T,14.5131,P,10.0440
2025/03/13-13:44:53,T,14.5147,P,10.0516
2025/03/13-13:44:55,T,14.5143,P,10.0503
2025/03/13-13:44:57,T,14.5161,P,10.0414
2025/03/13-13:44:59,T,14.5168,P,10.0414
2025/03/13-13:45:01,T,14.5117,P,10.0510
2025/03/13-13:45:03,T,14.4936,P,10.0491
2025/03/13-13:45:05,T,14.4898,P,10.0363
2025/03/13-13:45:07,T,14.4845,P,10.0427
2025/03/13-13:45:09,T,14.4613,P,10.0389
2025/03/13-13:45:11,T,14.4409,P,10.0428
2025/03/13-13:45:13,T,14.4319,P,10.0479
2025/03/13-13:45:15,T,14.4313,P,10.0409
2025/03/13-13:45:17,T,14.4311,P,10.0339
2025/03/13-13:45:19,T,14.4352,P,10.0396
2025/03/13-13:45:21,T,14.4253,P,10.0390
2025/03/13-13:45:23,T,14.4233,P,10.0422
2025/03/13-13:45:25,T,14.4278,P,10.0313
2025/03/13-13:45:27,T,14.4374,P,10.0339
2025/03/13-13:45:29,T,14.4409,P,10.0428
2025/03/13-13:45:31,T,14.4442,P,10.0409
2025/03/13-13:45:33,T,14.4495,P,10.0428
2025/03/13-13:45:35,T,14.4570,P,10.0440
2025/03/13-13:45:37,T,14.4573,P,10.0351
2025/03/13-13:45:39,T,14.4619,P,10.0396
2025/03/13-13:45:41,T,14.4661,P,10.0364
2025/03/13-13:45:43,T,14.4706,P,10.0466
2025/03/13-13:45:45,T,14.4760,P,10.0434
2025/03/13-13:45:47,T,14.4683,P,10.0466
2025/03/13-13:45:49,T,14.4471,P,10.0517
2025/03/13-13:45:51,T,14.4295,P,10.0441
2025/03/13-13:45:53,T,14.4128,P,10.0416
2025/03/13-13:45:55,T,14.4041,P,10.0448
2025/03/13-13:45:57,T,14.4008,P,10.0467
2025/03/13-13:45:59,T,14.3963,P,10.0378
2025/03/13-13:46:01,T,14.3967,P,10.0390
2025/03/13-13:46:03,T,14.4065,P,10.0454
2025/03/13-13:46:05,T,14.4097,P,10.0460
2025/03/13-13:46:07,T,14.4076,P,10.0378
2025/03/13-13:46:09,T,14.4052,P,10.0378
2025/03/13-13:46:11,T,14.4144,P,10.0384
2025/03/13-13:46:13,T,14.4213,P,10.0460
2025/03/13-13:46:15,T,14.4330,P,10.0415
2025/03/13-13:46:17,T,14.4416,P,10.0339
2025/03/13-13:46:19,T,14.4511,P,10.0390
2025/03/13-13:46:21,T,14.4584,P,10.0402
2025/03/13-13:46:23,T,14.4544,P,10.0402
2025/03/13-13:46:25,T,14.4610,P,10.0460
2025/03/13-13:46:27,T,14.4699,P,10.0389
2025/03/13-13:46:29,T,14.4794,P,10.0383
2025/03/13-13:46:31,T,14.4839,P,10.0344
2025/03/13-13:46:33,T,14.4878,P,10.0395
